K,mean,variance
3,0.020853,0.00000000006424330377
4,0.031598,0.00000012141543909933
8,0.074612,0.00000008958723486896
12,0.114382,0.00000000343150347101
16,0.151631,0.00000001650360397742
32,0.307681,0.00000026027156123169
64,0.619931,0.00000620197478388446
