K,mean,variance
3,0.004433,0.00000001976793336251
4,0.006608,0.00000007896201085686
8,0.014989,0.00000091217507762476
12,0.023062,0.00000023631773095980
16,0.031072,0.00000000276697405798
32,0.063419,0.00001190322518799837
64,0.124771,0.00000749259314932792
