K,mean,variance
3,0.001142,0.00000001356321935591
4,0.001462,0.00000000007226331072
8,0.002891,0.00000000002611958727
12,0.004340,0.00000000001372740640
16,0.005758,0.00000000000609760469
32,0.011512,0.00000000040041346660
64,0.023463,0.00000030111036551302
