K,mean,variance
3,0.000130,0.00000000000616347847
4,0.000117,0.00000000009016924261
8,0.000226,0.00000000007403847804
12,0.000335,0.00000000004227875358
16,0.000438,0.00000000006852375778
32,0.000865,0.00000000045982868361
64,0.001711,0.00000000015053262893
