Algorithm,K,GFLOPS
csr_vector_by_row,8,53.180362
csr_vector_by_row,8,44.451105
csr_vector_by_row,8,47.256808
csr_vector_by_row,8,53.106398
csr_vector_by_row,12,58.804157
csr_vector_by_row,12,57.620976
csr_vector_by_row,12,63.852005
csr_vector_by_row,12,59.786272
csr_vector_by_row,12,65.308154
csr_vector_by_row,12,59.599637
csr_vector_by_row,12,58.029638
csr_vector_by_row,12,60.737273
csr_vector_by_row,12,63.148017
csr_vector_by_row,12,57.447591
csr_vector_by_row,16,69.487717
csr_vector_by_row,16,74.142715
csr_vector_by_row,16,72.317234
csr_vector_by_row,16,66.175907
csr_vector_by_row,16,85.613230
csr_vector_by_row,16,68.063277
csr_vector_by_row,16,83.919780
csr_vector_by_row,16,81.328009
csr_vector_by_row,16,70.579484
csr_vector_by_row,16,69.933147
csr_vector_by_row,32,91.622075
csr_vector_by_row,32,88.644227
csr_vector_by_row,32,94.222085
csr_vector_by_row,32,86.388011
csr_vector_by_row,32,92.509994
csr_vector_by_row,32,92.903896
csr_vector_by_row,32,87.326470
csr_vector_by_row,32,90.643322
csr_vector_by_row,32,87.426444
csr_vector_by_row,32,87.879173
csr_vector_by_row,64,90.886046
csr_vector_by_row,64,92.706527
csr_vector_by_row,64,95.458752
csr_vector_by_row,64,94.222085
csr_vector_by_row,64,93.158888
csr_vector_by_row,64,94.718756
csr_vector_by_row,64,95.638068
csr_vector_by_row,64,93.045383
csr_vector_by_row,64,85.974668
csr_vector_by_row,64,89.031768
csr_vector_sub_warp,1,8.286350
csr_vector_sub_warp,1,8.076036
csr_vector_sub_warp,1,6.897309
csr_vector_sub_warp,1,7.123788
csr_vector_sub_warp,1,8.403059
csr_vector_sub_warp,1,8.076036
csr_vector_sub_warp,1,6.867536
csr_vector_sub_warp,1,6.779741
csr_vector_sub_warp,1,7.457715
csr_vector_sub_warp,1,7.134436
csr_vector_sub_warp,3,22.165345
csr_vector_sub_warp,3,22.268759
csr_vector_sub_warp,3,22.268759
csr_vector_sub_warp,3,22.131087
csr_vector_sub_warp,3,22.338241
csr_vector_sub_warp,3,24.602770
csr_vector_sub_warp,3,22.373145
csr_vector_sub_warp,3,23.282621
csr_vector_sub_warp,3,21.339512
csr_vector_sub_warp,3,25.433060
csr_vector_sub_warp,4,32.413837
csr_vector_sub_warp,4,32.358898
csr_vector_sub_warp,4,34.276033
csr_vector_sub_warp,4,33.435640
csr_vector_sub_warp,4,31.819582
csr_vector_sub_warp,4,33.318936
csr_vector_sub_warp,4,28.970789
csr_vector_sub_warp,4,29.645574
csr_vector_sub_warp,4,35.095128
csr_vector_sub_warp,4,35.095128
csr_vector_sub_warp,8,60.898724
csr_vector_sub_warp,8,62.391340
csr_vector_sub_warp,8,51.390982
csr_vector_sub_warp,8,48.641402
csr_vector_sub_warp,8,57.679005
csr_vector_sub_warp,8,59.383359
csr_vector_sub_warp,8,62.801812
csr_vector_sub_warp,8,48.090051
csr_vector_sub_warp,8,64.066275
csr_vector_sub_warp,8,56.820685
csr_vector_sub_warp,12,88.661382
csr_vector_sub_warp,12,82.648271
csr_vector_sub_warp,12,77.608743
csr_vector_sub_warp,12,75.065860
csr_vector_sub_warp,12,69.762787
csr_vector_sub_warp,12,82.767706
csr_vector_sub_warp,12,78.244879
csr_vector_sub_warp,12,85.231027
csr_vector_sub_warp,12,76.366999
csr_vector_sub_warp,12,75.861260
csr_vector_sub_warp,16,128.132551
csr_vector_sub_warp,16,88.490151
csr_vector_sub_warp,16,92.342200
csr_vector_sub_warp,16,93.017050
csr_vector_sub_warp,16,123.371567
csr_vector_sub_warp,16,93.472461
csr_vector_sub_warp,16,125.810539
csr_vector_sub_warp,16,92.008436
csr_vector_sub_warp,16,121.217456
