K,mean,variance
3,0.001539,0.00000000753093636473
4,0.002088,0.00000000011411757876
8,0.004163,0.00000000003500994085
12,0.006168,0.00000000008583595093
16,0.008509,0.00000107039922889890
32,0.016324,0.00000008507005691614
64,0.034481,0.00000068145946956703
