K,mean,variance
3,0.000124,0.00000000000524885194
4,0.000113,0.00000000018065003603
8,0.000212,0.00000000004761558907
12,0.000311,0.00000000009073025001
16,0.000406,0.00000000004709929870
32,0.000808,0.00000000039409211398
64,0.001677,0.00000000207026233228
