K,mean,variance
3,0.098773,0.00000046876134894891
4,0.130628,0.00001682362494138364
8,0.253044,0.00000338601906097128
12,0.377358,0.00000579877475895035
16,0.503820,0.00001048722609217082
32,1.008485,0.00009643754932810132
64,2.035744,0.00017131627526494297
