K,mean,variance
3,0.013992,0.00000028425803683405
4,0.017441,0.00000180883520617216
8,0.030206,0.00000005062584746008
12,0.040895,0.00000293275893466047
16,0.052560,0.00000334382205022964
32,0.100729,0.00000040429543003107
64,0.193315,0.00006260569870953465
