K,mean,variance
3,0.103304,0.00002048572048877854
4,0.133873,0.00000138036443045893
8,0.264822,0.00014575581701184705
12,0.392463,0.00003492534357729010
16,0.529859,0.00029466494444209141
32,1.044920,0.00020073000921851718
64,2.113156,0.00054938078591547270
