K,mean,variance
3,0.000333,0.00000006942985547989
4,0.000326,0.00000000000416797029
8,0.000632,0.00000000001029415311
12,0.000945,0.00000000066529527766
16,0.001302,0.00000008227529988493
32,0.002488,0.00000000274012988918
64,0.005084,0.00000015845797472237
