K,mean,variance
3,0.000076,0.00000000009428469783
4,0.000064,0.00000000001991269976
8,0.000111,0.00000000002252095800
12,0.000160,0.00000000003728345261
16,0.000210,0.00000000001150133562
32,0.000427,0.00000000003709041977
64,0.000861,0.00000000000353161602
