K,mean,variance
3,0.003869,0.00000001031814259221
4,0.005984,0.00000000179236050228
8,0.013601,0.00000035492889258761
12,0.021267,0.00000050377490350952
16,0.028929,0.00000166140571512442
32,0.059744,0.00000520709077473603
64,0.118084,0.00000027905617762097
