K,num_threads,mean,variance
3,1,0.000071,0.00000000003280019358
3,2,0.000049,0.00000000035076033881
3,3,0.000068,0.00000000024752387033
3,4,0.000051,0.00000000006821282217
3,5,0.000046,0.00000000000848261780
3,6,0.000040,0.00000000024009631558
3,7,0.000038,0.00000000019272714843
3,8,0.000034,0.00000000026306548517
3,9,0.000038,0.00000000018443342629
3,10,0.000031,0.00000000030175404902
3,11,0.000031,0.00000000018018446329
3,12,0.000029,0.00000000021339568485
3,13,0.000027,0.00000000007012350057
3,14,0.000025,0.00000000003759155740
3,15,0.000035,0.00000000018913773726
3,16,0.000025,0.00000000005617468998
3,17,0.000028,0.00000000023062610033
3,18,0.000027,0.00000000004455095108
3,19,0.000027,0.00000000025473651161
3,20,0.000026,0.00000000004542465093
3,21,0.000026,0.00000000006058211183
3,22,0.000025,0.00000000006484592832
3,23,0.000027,0.00000000006385803129
3,24,0.000026,0.00000000007125558181
3,25,0.000025,0.00000000005929508228
3,26,0.000027,0.00000000004569131191
3,27,0.000026,0.00000000005083377786
3,28,0.000029,0.00000000005696961917
3,29,0.000026,0.00000000005610393025
3,30,0.000026,0.00000000006771579438
3,31,0.000026,0.00000000005849576890
3,32,0.000027,0.00000000006990514423
3,33,0.000028,0.00000000008145098876
3,34,0.000026,0.00000000004451871312
3,35,0.000027,0.00000000008287398731
3,36,0.000027,0.00000000006864429061
3,37,0.000027,0.00000000005441621118
3,38,0.000027,0.00000000007419228872
3,39,0.000027,0.00000000006643139065
3,40,0.000027,0.00000000017711064281
4,1,0.000085,0.00000000010665069303
4,2,0.000063,0.00000000059324520745
4,3,0.000083,0.00000000022848742212
4,4,0.000072,0.00000000001906393476
4,5,0.000058,0.00000000006450765290
4,6,0.000051,0.00000000012136025432
4,7,0.000048,0.00000000014938808621
4,8,0.000042,0.00000000015139745736
4,9,0.000041,0.00000000018867104058
4,10,0.000038,0.00000000015786849976
4,11,0.000038,0.00000000016464705837
4,12,0.000036,0.00000000021448310831
4,13,0.000035,0.00000000018611673701
4,14,0.000043,0.00000000016009485012
4,15,0.000035,0.00000000024920160391
4,16,0.000040,0.00000000003400354571
4,17,0.000028,0.00000000025747867223
4,18,0.000038,0.00000000002864871836
4,19,0.000029,0.00000000028504319471
4,20,0.000038,0.00000000002834465765
4,21,0.000030,0.00000000008841062464
4,22,0.000036,0.00000000006278640697
4,23,0.000030,0.00000000008911307309
4,24,0.000030,0.00000000005078125885
4,25,0.000030,0.00000000005991807061
4,26,0.000031,0.00000000004885080338
4,27,0.000032,0.00000000008392169934
4,28,0.000079,0.00000006402352635218
4,29,0.000032,0.00000000010258937732
4,30,0.000031,0.00000000006637304929
4,31,0.000031,0.00000000006545229282
4,32,0.000033,0.00000000006440057073
4,33,0.000033,0.00000000006067315641
4,34,0.000032,0.00000000005314269318
4,35,0.000032,0.00000000007515178229
4,36,0.000032,0.00000000006287657703
4,37,0.000033,0.00000000007128048705
4,38,0.000033,0.00000000005996931632
4,39,0.000033,0.00000000006879175352
4,40,0.000032,0.00000000017937143552
8,1,0.000141,0.00000000075748518286
8,2,0.000109,0.00000000060003390171
8,3,0.000134,0.00000000110703129865
8,4,0.000072,0.00000000004832326670
8,5,0.000057,0.00000000005308955391
8,6,0.000059,0.00000000024451160543
8,7,0.000049,0.00000000028432672932
8,8,0.000053,0.00000000023990655681
8,9,0.000048,0.00000000027434903020
8,10,0.000050,0.00000000021142650196
8,11,0.000046,0.00000000023169302450
8,12,0.000048,0.00000000021692323285
8,13,0.000045,0.00000000026280775321
8,14,0.000048,0.00000000028790349100
8,15,0.000046,0.00000000025853660510
8,16,0.000049,0.00000000020731454840
8,17,0.000047,0.00000000022367518547
8,18,0.000048,0.00000000004539541209
8,19,0.000048,0.00000000024627822702
8,20,0.000049,0.00000000004393289668
8,21,0.000050,0.00000000006812241186
8,22,0.000047,0.00000000009118202943
8,23,0.000051,0.00000000006917543351
8,24,0.000051,0.00000000006286978181
8,25,0.000050,0.00000000008011758106
8,26,0.000051,0.00000000005723962365
8,27,0.000049,0.00000000006261280512
8,28,0.000051,0.00000000005791548818
8,29,0.000049,0.00000000007854755292
8,30,0.000050,0.00000000006563431556
8,31,0.000050,0.00000000006422937242
8,32,0.000051,0.00000000006521482083
8,33,0.000052,0.00000000006381383417
8,34,0.000050,0.00000000005595510501
8,35,0.000051,0.00000000007740635566
8,36,0.000050,0.00000000006251023063
8,37,0.000053,0.00000000007158314352
8,38,0.000050,0.00000000005514125058
8,39,0.000051,0.00000000006757689474
8,40,0.000049,0.00000000020687218616
12,1,0.000189,0.00000000185903961493
12,2,0.000143,0.00000000130337544318
12,3,0.000185,0.00000000026081817397
12,4,0.000124,0.00000000007054854309
12,5,0.000104,0.00000000020904426552
12,6,0.000112,0.00000000024873438767
12,7,0.000100,0.00000000028162632078
12,8,0.000080,0.00000000025428129052
12,9,0.000071,0.00000000028719010448
12,10,0.000083,0.00000000020990944533
12,11,0.000069,0.00000000023802218283
12,12,0.000076,0.00000000022227529302
12,13,0.000062,0.00000000023963082380
12,14,0.000075,0.00000000027497139778
12,15,0.000062,0.00000000024865379844
12,16,0.000072,0.00000000023444466390
12,17,0.000063,0.00000000026569076166
12,18,0.000070,0.00000000006051402601
12,19,0.000061,0.00000000028085773965
12,20,0.000075,0.00000000005180827638
12,21,0.000067,0.00000000010312264897
12,22,0.000068,0.00000000008661384380
12,23,0.000076,0.00000000005980838898
12,24,0.000071,0.00000000077638451578
12,25,0.000073,0.00000000014523480898
12,26,0.000113,0.00000006200445686491
12,27,0.000066,0.00000000009554264507
12,28,0.000072,0.00000000007911261177
12,29,0.000073,0.00000000006969570172
12,30,0.000066,0.00000000007524138580
12,31,0.000072,0.00000000007185368657
12,32,0.000066,0.00000000007508175358
12,33,0.000067,0.00000000008739664365
12,34,0.000071,0.00000000006291632909
12,35,0.000073,0.00000000006565911396
12,36,0.000065,0.00000000007483545208
12,37,0.000074,0.00000000005763986922
12,38,0.000066,0.00000000009084168827
12,39,0.000073,0.00000000022918751540
12,40,0.000135,0.00000014164518920643
16,1,0.000243,0.00000000311209809356
16,2,0.000169,0.00000000091880542528
16,3,0.000264,0.00000000208702456233
16,4,0.000170,0.00000000007158207038
16,5,0.000143,0.00000000024229187918
16,6,0.000147,0.00000000004699920681
16,7,0.000111,0.00000000025503432413
16,8,0.000124,0.00000000009715423725
16,9,0.000141,0.00000006202147683690
16,10,0.000110,0.00000000006698646831
16,11,0.000091,0.00000000028970646949
16,12,0.000099,0.00000000009771470352
16,13,0.000082,0.00000000029624257136
16,14,0.000096,0.00000000008093823742
16,15,0.000080,0.00000000030845405691
16,16,0.000091,0.00000000006276460378
16,17,0.000081,0.00000000029906287620
16,18,0.000092,0.00000000005444273288
16,19,0.000080,0.00000000024608739785
16,20,0.000098,0.00000000005659609632
16,21,0.000087,0.00000000012418111485
16,22,0.000089,0.00000000009057342184
16,23,0.000099,0.00000000009922402993
16,24,0.000088,0.00000000010330352174
16,25,0.000096,0.00000000008198191968
16,26,0.000087,0.00000000009439371629
16,27,0.000094,0.00000000008592354578
16,28,0.000088,0.00000000008474840605
16,29,0.000095,0.00000000007837154930
16,30,0.000086,0.00000000008727060672
16,31,0.000094,0.00000000007936974611
16,32,0.000088,0.00000000009051062365
16,33,0.000095,0.00000000007407883922
16,34,0.000082,0.00000000007730773454
16,35,0.000085,0.00000000007242825833
16,36,0.000093,0.00000000006699436222
16,37,0.000097,0.00000000007070872678
16,38,0.000086,0.00000000008817218680
16,39,0.000093,0.00000000019546764638
16,40,0.000082,0.00000000076744947534
32,1,0.000433,0.00000000909243589917
32,2,0.000344,0.00000000174462441634
32,3,0.000508,0.00000000470967212105
32,4,0.000342,0.00000000025179298778
32,5,0.000286,0.00000000026838369260
32,6,0.000294,0.00000000022834931393
32,7,0.000217,0.00000000016316924800
32,8,0.000243,0.00000000027104106240
32,9,0.000180,0.00000000032049691189
32,10,0.000213,0.00000000027026860650
32,11,0.000169,0.00000000027791460728
32,12,0.000192,0.00000000026445213720
32,13,0.000152,0.00000000022381385105
32,14,0.000188,0.00000000034362365756
32,15,0.000149,0.00000000038008340717
32,16,0.000176,0.00000000027286737105
32,17,0.000153,0.00000000029792919036
32,18,0.000177,0.00000000008539392331
32,19,0.000147,0.00000000027538810164
32,20,0.000170,0.00000000006602231873
32,21,0.000169,0.00000000009190646580
32,22,0.000184,0.00000000007556052838
32,23,0.000171,0.00000000008903153905
32,24,0.000184,0.00000000007651348590
32,25,0.000163,0.00000000008410088530
32,26,0.000181,0.00000000007973164152
32,27,0.000180,0.00000000008184216236
32,28,0.000164,0.00000000012477782002
32,29,0.000179,0.00000000007263000786
32,30,0.000160,0.00000000008765975763
32,31,0.000178,0.00000000007495561529
32,32,0.000161,0.00000000008638305660
32,33,0.000179,0.00000000007713780727
32,34,0.000154,0.00000000008400140625
32,35,0.000161,0.00000000013444841614
32,36,0.000172,0.00000000006783165580
32,37,0.000186,0.00000000008105619551
32,38,0.000158,0.00000000009284923398
32,39,0.000158,0.00000000010272072734
32,40,0.000170,0.00000000289280908829
64,1,0.000938,0.00000002020076767938
64,2,0.000683,0.00000000167854582134
64,3,0.000960,0.00000000046480830614
64,4,0.000682,0.00000000033494363131
64,5,0.000570,0.00000000054859251237
64,6,0.000575,0.00000000029034098441
64,7,0.000421,0.00000000030730948117
64,8,0.000475,0.00000000008242233432
64,9,0.000345,0.00000000034020505090
64,10,0.000409,0.00000000006194737042
64,11,0.000325,0.00000000034150931060
64,12,0.000373,0.00000000039862358190
64,13,0.000290,0.00000000026675767817
64,14,0.000364,0.00000000016171576556
64,15,0.000284,0.00000000041778277945
64,16,0.000343,0.00000000007050880265
64,17,0.000307,0.00000001340804468669
64,18,0.000336,0.00000000010534516458
64,19,0.000379,0.00000000006557297337
64,20,0.000369,0.00000006158511346346
64,21,0.000371,0.00000000011061733165
64,22,0.000363,0.00000000010844835523
64,23,0.000366,0.00000000007372497936
64,24,0.000356,0.00000000012682635378
64,25,0.000350,0.00000000010367338950
64,26,0.000345,0.00000000009963847986
64,27,0.000325,0.00000000060562957596
64,28,0.000342,0.00000000006895687347
64,29,0.000344,0.00000000011880557182
64,30,0.000264,0.00000000035656432096
64,31,0.000340,0.00000000024853527791
64,32,0.000317,0.00000000011458670818
64,33,0.000323,0.00000000014174490240
64,34,0.000300,0.00000000012127410145
64,35,0.000316,0.00000000015189027662
64,36,0.000309,0.00000000034793402201
64,37,0.000324,0.00000000011525369207
64,38,0.000303,0.00000000012858993509
64,39,0.000300,0.00000000015471319666
64,40,0.000266,0.00000000011918380031
