K,mean,variance
3,0.000296,0.00000000334696587123
4,0.000338,0.00000000008020609132
8,0.000673,0.00000000006384185209
12,0.001013,0.00000000078664773696
16,0.001337,0.00000000002149822262
32,0.002664,0.00000000036713350272
64,0.005388,0.00000009653992941311
