K,mean,variance
3,0.001112,0.00000000953705572499
4,0.001415,0.00000000004810601833
8,0.002815,0.00000000126765408607
12,0.004247,0.00000006074404283038
16,0.005582,0.00000000020501154203
32,0.011269,0.00000011883068037030
64,0.022751,0.00000011597087661038
