K,mean,variance
3,0.000071,0.00000000008686475063
4,0.000055,0.00000000000355834669
8,0.000096,0.00000000000601167889
12,0.000137,0.00000000001928338558
16,0.000182,0.00000000001309793778
32,0.000357,0.00000000000396688852
64,0.000726,0.00000000002754546608
